code,title,credits,level,semester,faculty,freechoice,description,prerequisites_list,corequisites_list,required_by,url
MECH11602,Mechanics (Mechanical),10,1,Semester 2,Engineering,False,"Engineering mechanics is both a foundation and a framework for most of the branches of engineering. The majority of the topics in mechanical and aerospace engineering are based on this subject. Thus, the theme is critical to the engineering curriculum. The course serves to solidify the student’s understanding of applied mathematics and physics and provides settings to strengthen students' problem-solving abilities.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH11602
MECH12002,Materials 1 (Mechanical),10,1,Semester 2,Engineering,False,"Every engineering application needs to have some appreciation of the materials that are employed to achieve functionality and durability requirements. This course serves as a starting point to develop an engineer’s ability to select a material based on cost and performance, understand limitations and how properties change in service and the ability to critically assess new materials for a given application.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH12002
MECH12012,Aerospace and Mechanical Thermodynamics,10,1,Semester 2,Mechanical Engineering,False,"Industrial nations require sources of energy and power for their industries to function and for their citizens to live, together with energy and power conversion machines, devices and systems to provide power in useful forms. Thermodynamic processes provide many of the means by which power is produced and converted to be useable. Most (if not all) power sources are thermodynamical systems. This course equips students with the elementary skills needed to embark on the analysis of thermodynamic analysis of thermodynamic devices.",,,MECH20422,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH12012
AERO20092,Modelling & Simulation (Mech),10,2,Semester 2,,False,"This is a foundational unit to introduce students to the fundamental principles and the process of modelling and simulation. The motivations for modelling and simulation and its wider context in engineering is discussed and this is supported by teaching fundamental mathematical knowledge and the use of programming and commercial software to simplify and model real-world situations. The unit aims to enable students to make informed choices to conceive, implement, evaluate, validate and interrogate a model of a physical system.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO20092
AERO20121,Fluid Mechanics 2,10,2,Semester 1,Engineering,False,"This unit extends the basic Fluid Mechanics covered in year 1 to include the differential form of the equations and to apply the equations to the important areas of Open Channel flow, Compressible flow, Viscous flow and Pipes, Pumps and Compressors.",,,MECH31422,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO20121
ENGM22492,Project Management (Aero/Mech),10,2,Semester 1,Engineering Management,False,This unit introduces students to Project Management (PM) and its importance to the success of delivering engineering projects that support organisational strategy. The unit discusses various topics within the field of PM and explains how they integrate with each other so that the student develops a good understanding of projects in their entirety.,,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=ENGM22492
MATH29661,Mathematics 2M1,10,2,Semester 1,Faculty of Science,False,The course unit aims to provide a second year course in mathematics and statistics.,MATH19662,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MATH29661
MECH20030,Workshop Practice (Mechanical),0,1,,,False,"The workshop practice covers health and safety training, turning, milling, welding and a fabrication and fitting exercise. The students have to complete 4 exercises and 8 hours of workshop practice over the 2 years.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH20030
MECH20041,Numerical Methods & Computing,10,2,Semester 1,Mechanical Engineering,False,"Modern engineers are faced with the design, analysis and manufacture of highly complex physical systems which can be understood through the application of engineering science. The description of highly complex systems can require the solution of discrete, differential or integral equations which can be achieved through the application of numerical techniques. Many of the analysis tools used by modern engineers are founded on numerical methods and it is essential that engineers are aware of the limitation of said tools and methods. This unit provides an introduction and the foundations underpinning a selection of some of the numerical techniques used in engineering.","MATH19661,MATH19662",,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH20041
MECH20051,Manufacturing Engineering 2,10,2,Semester 1,Mechanical and Manufacturing,False,"Engineering manufacturing is vital to the economy of a modern developed nation. Whatever is designed by mechanical engineers has to be manufactured. The times when a designer completed a design and sent it to the manufacturing department to make are gone. Most of the costs of manufacture are determined at the design stage, so it is vital that there is effective collaboration between designers and manufacturing engineers.
This unit covers three key elements of manufacturing for mechanical engineers: It introduces some of the most common machining process. It then introduces various types of machine tools and the way these are programmed. Finally, key equipment employed for the inspection and testing of the components manufactured is presented.",MECH11012,,MECH30121,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH20051
MECH20071,Design 2 (Mechanical),10,2,Semester 1,Mechanical Engineering,False,"The design process is the starting point of most engineering endeavours, so it is important that those entering the engineering profession have a good grasp of design principles. Students will carry out design projects in groups. They will learn how design is carried out through lectures and by experiencing the process, from the specification of a problem, through the generation of ideas, the selection of a good solution and having to convince others of the viability of their solution. Students will be taken through the process of optimising a design, component selection, and producing manufacturing CAD drawings. The process will also manufacture part of a prototype using 3D printing. In the group design sessions, staff are available to give guidance as needed. The Unit consists of a 12 weeks project supported by lectures. The students work in groups of, typically, 5 or 6 persons. Changes are made to the projects each year.",MECH10331,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH20071
MECH20422,Applied Thermodynamics (Mechanical),10,2,Semester 2,Engineering,False,"Most of the electrical generation in the UK and in many other countries is provided by steam turbine and gas turbine power systems. Road transportation is dominated by petrol and diesel fuelled cars, trucks and buses. Gas turbine engines of various descriptions are employed to propel aircraft and ships. Refrigeration equipment is used in fridges, freezers, heat pumps and air conditioning systems.
The intended learning outcomes focus on an understanding of most of the above-named systems and the means to analyse them, in terms of their cycle representations, thermodynamic efficiencies, work/heat inputs/outputs, fuel consumptions, etc. These analyses include the heat input to these systems which comes from internal combustion of fuel in air. Steam power plant will be covered in detail in 3rd year Engineering Thermodynamics course units.",MECH12012,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH20422
MECH20442,Dynamics,10,2,Semester 2,Mechanical Engineering,False,Dynamics will continue to broaden the students’ knowledge of mechanical systems by extending rigid body kinematics and kinetics into three dimensions using real world examples and applications. The unit will also introduce students to approaches used to analyse the dynamic response of structures.,,,AERO30441,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH20442
MECH21021,Structures 2 (Mechanical),10,2,Semester 1,Mechanical,False,"It is essential for engineers to understand the behaviour of both structures and the material to be used when designing a structure and to ensure its safety in service. This unit explains the response of materials and structures subjected to static loads and the corresponding methods for structural analysis and assessment under varied loadings (i.e. axial, bending, torsional and combined loading). The intended learning outcomes are focussed on the knowledge and understanding of material response to external load and development of skills in structure analysis and considerations on structure design.",CIVL10031,,MECH32002,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH21021
MECH21342,Data Acquisition & Experimental Methods,10,2,Semester 2,Mechanical Engineering,False,"The course has two distinct elements; the theory of data acquisition and its experimental application. This unit will be delivered through a combination of ‘hands on’ sessions with individual activities, lectures, resource based learning exercises and a collaborative project.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH21342
MECH22202,Materials 2,10,2,Semester 2,Mechanical and Manufacturing Engineering,False,"This unit builds on material covered in MACE12002 Materials 1. Some fundamental aspects of the mechanical behaviour of materials are covered in greater detail, and specific material systems are explored in greater depth. The unit provides a foundation in materials engineering that will enable students to understand how materials processing and subsequent manufacturing operations influence both material properties and the in-service performance of engineering components. Students will use this knowledge as practising engineers when choosing a material for a given application, or when choosing a processing route for a given material. The unit is lecture based with one laboratory exercise.",MECH11012,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH22202
AERO30021,Control Engineering (Mechanical),10,3,Semester 1,,False,"The module introduces classical control theory through the understanding of basic characteristics of open and closed loop control systems. It includes the use of Laplace transform method to represent and analyse system transient and steady-state response; the use of block diagram methods for representing system dynamics in the s domain; system stability analysis using root locus method, and the use of Nyquist and Bode diagrams for frequency response analysis. Practical industrial control system design and analysis is introduced through lectures given by industrial personnel with applications in the aerospace and process industries. Tutorial classes are used to reinforce lectures with worked examples and discussions, and a robotic laboratory session is used to illustrate the operation of a Proportional-Integral-Derivative controller – the system most widely used control system in industry.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO30021
AERO30441,Vibrations (Mechanical),10,3,Semester 1,Aerospace Engineering,False,"The course consists of two broad divisions, namely: Vibrations Theory and Aeroelasticity. The Vibrations Theory element of the course is focused on the derivations of the equations of motion, natural frequencies, mode shapes and responses of multiple degrees-of-freedom (MDOF) discrete and continuous systems under free and forced vibrations conditions. The modal analysis technique is used to transform the equations of motion from physical space to modal space in order to facilitate the process for computing the responses of MDOF discrete systems. The Aeroelasticity element examines the effects of fluid flow on vibrating structures and considers vortex shedding, static aeroelasticity (divergence) and dynamic aeroelasticity (flutter).",MECH20442,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO30441
ENGM30461,Operations Management,10,3,Semester 1,Engineering,False,"This Management unit introduces students to Operations Management and its importance to the success of an organisation. Students will learn about the design and management of the processes, resources and systems that are required to deliver products and/or services to customers. Most engineers will work within organisations and consequently need to understand how their role contributes to the effective delivery of products and services to customers.","ENGM22491,ENGM21511",,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=ENGM30461
MECH30121,Manufacturing Engineering 3,10,3,Semester 1,Engineering,False,"In modern engineering industry, there are a number of manufacturing processes that shape metals by means other than traditional cutting. These processes are important in the aerospace and automotive sectors, as well as others. A selection of processes based on laser processing and electrical machining, is studied.","MECH20051,MECH11012",,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH30121
MECH30432,Heat Transfer,10,3,Semester 2,Mechanical Engineering,False,"Thermal energy exchanges occur throughout the natural environment and engineering systems. The course unit represents the first exposure of the students to Heat Transfer and seeks both to introduce them to the subject, and, as is appropriate for a Level 3 unit, to develop the subject to a relatively advanced level, at least in some areas.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH30432
MECH31030,Individual Project (Mechanical),30,3,Full year,Engineering,False,"Students select and develop a project from a wide range of proposed engineering, management, and environmental topics. In consultation with the Project Supervisor, the initial short topic description is developed during the first semester into a full programme of investigation and analysis that will be conducted over the academic year.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH31030
MECH31041,Design,10,3,Semester 1,Mechanical Engineering,False,"In this unit the students work in small groups and act as an engineering design team tasked with solving a design problem inspired by real industrial experience. Past projects have included the design of a wildfire fighting equipment, the design of a testing device for measuring the efficiency of medical face masks, and the design of a novel propelling aid for improving inclusivity of wheelchair users in low-resource settings.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH31041
MECH32002,Structures 2 (Mechanical),10,3,Semester 2,Mechanical,False,Highlights of Structures-1 and Structures-2 (Mech) course materials. Theories of elasticity for two-dimensional (2D) and three-dimensional (3D) problems. Structural analysis using energy methods. An introduction to linear elastic fracture mechanics (LEFM) An introduction to fatigue analysis. Plasticity and collapse. An introduction to creep.,"MECH21021,CIVL10031",,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH32002
AERO30052,Modelling & Simulation 3,10,3,Semester 2,Aerospace Engineering,False,"The students are introduced to the mathematical formulations of (1) linear elastic (structural), and (2) fluid flow (CFD) problems and their implementation into numerical schemes. Particular emphasis is placed on the Finite Element and Finite Volume Methods and the associated modelling strategies. Two detailed project exercises are carried out to support the course and highlight the importance of numerical simulations as an important, indeed, essential aid in engineering design.",AERO30052,,AERO30052,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=AERO30052
CIVL31532,Renewable Energy Systems,10,3,Semester 2,Civil Engineering,False,"There is currently significant interest in exploiting renewable energy sources such as solar, wind, wave and tidal stream to generate electricity. This unit provides an introduction to renewable technologies, with particular focus on engineering design of wind-turbines, tidal stream devices, wave devices, solar photovoltaic and bioenergy along with some of the practical challenges to integrate with wider grid network and smart grid systems.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=CIVL31532
MECH30632,Nuclear Systems,10,3,Semester 2,Engineering,False,"This nuclear systems unit aims to provide students with an interesting and broad understanding of a nuclear engineering environment applicable to both fission and fusion systems. This course provides students with an excellent foundation for any prospective engineer seeking an interest in the nuclear energy sector and will cover three key areas: a) The history of nuclear power, the design of different reactor types, elementary reactor physics and thermal hydraulics, safety and protection, and reactor materials. b) An introduction to the nuclear fuel cycle including fuel design and manufacture, in-reactor fuel behaviour, nuclear transport, options for spent fuel management, recycling uranium and plutonium. c) The management of wastes including waste storage, waste disposal, treatment and long term storage options.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH30632
MECH31422,Fluid Mechanics,10,3,Semester 2,Engineering,False,"This module covers the backbone of modern fluid mechanics, providing an in-depth analysis of the Navier-Stokes equations and the turbulence emergence process. The properties and characteristics of turbulent flows are then introduced, with an aim to develop an understanding of the principle modelling approaches used in real-world applications. These provide a solid foundation that enables students to proficiently analyse and tackle practical engineering problems involving fluid flow.

The concept of flow management is introduced together with a broad description of available techniques to modify fluid flows, such as boundary layers modification and vortex generators in external aerodynamics and the use of suction devices to prevent turbulent transition.","AERO10421,AERO20121",,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH31422
MECH32102,Engineering Thermodynamics,10,3,Semester 2,Mechanical Engineering,False,"Prime movers are of central importance to industrial economies. This unit covers refined analytical methods that allow the analyses of important current power plant and air-conditioning applications.
Looking to the future without hydrocarbon fuel energy systems, the unit discusses and analyses potential systems involving the use of gases such as CO2, liquefied gases such as N2 and the production and use of low-carbon chemical steam systems.",,,,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MECH32102
