title,code,url,credits,mandatory,level,semester,faculty,freechoice,description,required_by,prerequisites_list,corequisites_list
Software Engineering 2,COMP23412,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP23412,10,Mandatory,2,Semester 2,Department of Computer Science,False,"This course prepares you to build interactive, real-world web applications using modern development frameworks and team-based agile practices. You will work in a simulated software company, with weekly requirements from ‘customers’ (your lecturers) that range from precise to deliberately ambiguous – just like the real world. Working in teams, you will learn to break down requirements, clarify ambiguity through customer engagement, and deliver high-quality software through continuous integration and testing. Along the way, you will develop fluency in an industry-standard framework, navigating documentation and architectural patterns to solve evolving challenges. What you will gain: Real-world experience in team-based software engineering. Confidence working with a modern web development framework. Skills in requirements analysis, rapid learning, and iterative development. The ability to build and test usable, robust web applications. Hands-on experience working with APIs – both consuming and creating them. You will leave the course ready to hit the ground running in a professional development team.","COMP33312,COMP33511",COMP23311,
Programming Languages & Paradigms,COMP26020,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP26020,20,Mandatory,2,Full year,Department of Computer Science,False,There is a variety of programming languages designed with different features aiming to address different types of problems. The unit is an advanced course for students who have already mastered one programming language. It is trying to consider the broad spectrum of different programming paradigms and how these can be used and translated.,,"COMP16321,COMP16412",
Algorithms and Data Structures,COMP26120,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP26120,20,Mandatory,2,Full year,Department of Computer Science,False,"This course unit covers fundamental material in Computer Science concerning algorithms and their correctness and performance. It is a two-semester practical course, with core content delivered via video and reading resources. These are supplemented with face-to-face synchronous sessions to consolidate the material, considerable practical experience delivered via both formative and summative coursework, and tutorial/drop-in lab support. The student is expected to seek out material to support work on the course, thus contributing to developing ""algorithmic literacy"".   Syllabus Algorithms - what they are and how to express them (in pseudocode and selected programming languages). Practical experience in devising, assessing and using algorithms: •    considerable practice in algorithmic problem solving for realistic problems •    examples from a wide range of application areas •    finding appropriate algorithms and data-structures •    inventing appropriate algorithms and data-structures Practical experience in 'algorithmic literacy' - knowing how to use the extensive literature on the subject, recognising what algorithms to use in applications and assessing their utility. A range of basic data structures: arrays, lists, trees (including ordered and balanced trees and heaps), and various kinds of graphs. Representations of basic data structures in programming languages. A range of basic algorithms: searching and sorting algorithms, tree traversal and manipulation algorithms, some basic graph algorithms. Other algorithmic areas will be explored through practical examples. An introduction to algorithmic performance: space and time requirements, worst-case, average-case and best case estimates. Practical experience and techniques for measuring and predicting performance: Counting operations. Scaling and some common rates of growth. Reasoning about algorithms - experience in informally reasoning about algorithms to establish correctness.",COMP36111,"COMP16321,COMP16412",
Logic and Modelling,COMP21111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP21111,10,Optional,2,Semester 1,Department of Computer Science,True,"The course is focused on logic, reasoning algorithms and formal methods.  In the course we cover several logics widely used in applications ranging from verification of software and hardware to mathematical reasoning. The course will cover formal aspects of propositional logic, quantified propositional logic (QBF), linear temporal logic. We study major reasoning algorithms for these logics including DPLL, tableaux, randomized algorithms, OBDDs. The course also covers formalization of problems such as state transition systems and specification and verification of properties of such systems using logic.",,"COMP11120,MATH11121",
Processor Microarchitecture,COMP22111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP22111,10,Optional,2,Semester 1,Department of Computer Science,True,"This course unit aims to reinforce and extend digital hardware development skills which are introduced in the first year. It aims to give students a view of the role of the digital designer, taking an idea and implementing it in silicon. The course unit looks at different architectures and computing paradigms, finishing with a discussion of what technologies may, in the future, replace silicon as the building block of the processor. The syllabus is given below with the sections associated with each concept. First half   1.    Introduction  Overview, introduction to the lab, approaches to design and the management of complexity 2.    Introducing Stump  Designing complex systems, RISC v CISC, Stump specification and addressing schemes, Stump ISA 3.    Verilog & Testing  Verilog recap and new features - tasks, functions and structural Verilog. Verification, validation and testing - the testbench. 4.    Sequential systems design  The processor as a sequential system, datapath and control, register transfer level (RTL) design, Mealy and Moore finite state machines. 5.    Designing and Implementing Processors  Implementation of processors from the ISA, architectural design, RTL design, Verilog implementation. 6.    Introduction to CMOS  Basic electronics, logic gates in CMOS and design considerations. Second half   7.    Specialised Processing Architectures  Examining DSPs, floating-point (and other) coprocessors, SIMD and vector extensions as well as VLIW. 8.    Microarchitectural Structures   Basic building blocks, including register files, FIFOs, RAMs, CAMs, arithmetic circuits (adders and multipliers) and shifters. 9.    FPGAs   FPGA mode of operation and its spatial programming model as well as application examples. 10.    Technology & Hardware Design Examples  Standard Cell design methodology, PLA, Multiplexer, look-up table technology, investigating circuits and design factors. 11.    Computer Aided Design (CAD) Tools   Logic synthesis, constraints, Place & Route, DRCs. 12.    Verification and Testing  Analogue and digital simulation, regression testing, production test and yield built-in self-test (BIST). 13.    Timing and Clocking   System performance, setup and hold times, jitter, clock skew, clock distribution networks, propagation delay, signal integrity, static timing analysis (STA), clock domains, synchronisation and meta-stability. 14.    Future   Limits of Moores' law, understanding the importance of energy efficiency, new manufacturing techniques, memristor-based computing, exotic technologies (Quantum dots, Graphene, Spintronics, etc.).",COMP32211,COMP12111,
Microcontrollers,COMP22712,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP22712,10,Optional,2,Semester 2,Department of Computer Science,True,"The course unit is a strong practical reinforcement of the software/hardware interface. The key themes we cover in this unit are: •    Efficient low-level programming in RISC-V assembly •    Controlling hardware devices through software •    Developing applications with both hardware and software components •    Processor support for hardware-software communication •    System software design •    Low-level debugging and testing •    Reading, understanding, and using hardware technical documentation This course unit is focused on practical laboratory work around our custom-designed development boards, which were developed in-house for this unit. Completing this course unit will give you a good understanding of low-level software, hardware-software co-design, and embedding programming, allowing you to compete for roles not normally open to most programmers.",,COMP15111,
Database Systems,COMP23111,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP23111,10,Optional,2,Semester 1,Department of Computer Science,True,"Databases are foundational, though often unseen, components of modern computing architectures, playing a critical role in both commercial and scientific contexts. Over time, data management has evolved from fragmented, application-specific file systems to organization-wide strategies that recognize data as a vital asset. In today’s competitive landscape, the ability to manage, analyse, and utilize data effectively is a key factor in organisational success. At the heart of this transformation are database management systems (DBMSs), which serve as the essential software infrastructure for managing data with reliability, consistency, and efficiency. Modern DBMSs are highly sophisticated, embodying advances in areas such as algorithms and data structures, programming language theory, conceptual modelling, concurrency control, and distributed computing. These systems are designed to support a wide range of applications, from transactional systems to data analytics, while ensuring security, scalability, and performance. This course explores databases as a unifying, data-centric traversal of many of the most exciting topics in modern computing. Students will learn the principles and techniques that underpin the design, implementation, and management of databases, with a particular focus on the relational model, SQL, and database normalization. They will also explore the integration of databases with web and other front-end systems, gaining practical experience in building database-driven applications. In addition, the course examines advanced topics such as transaction management, database security, and alternative database paradigms like NoSQL systems. By combining theory with hands-on practice, students will develop the skills needed to design robust databases, write advanced queries, and apply database technologies to solve real-world problems effectively.",COMP38311,,
Introduction to AI,COMP24011,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP24011,10,Optional,2,Semester 1,Department of Computer Science,True,"The Unit constitutes an introduction to the field of Artificial Intelligence, aiming at once to give a broad overview of the subject and to serve as a basis for more detailed third year courses, particularly, COMP34111 (AI and Games), COMP34212 (Cognitive Robotics), COMP34812 (Natural Language Understanding) and COMP37212 (Computer Vision).",COMP24412,"COMP11120,COMP13212,MATH11121",
Machine Learning,COMP24112,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP24112,10,Optional,2,Semester 2,Department of Computer Science,True,"The unit will cover the following. A general introduction to key concepts in machine learning and the development of the field. Essential knowledge on how to build a supervised machine learning system, including classification and regression, with respect to model architecture (e.g., instance-based model, linear model, linear basis function model, kernel methods, single- and multi-layer perceptrons, convolutional neural network etc.), loss functions (e.g., sum of squares error, regularisation, cross-entropy, etc.), and optimisation approaches for training (e.g., basic optimality conditions, (stochastic) gradient descent, etc.). Basic knowledge on different types of machine learning models (e.g., parametric, non-parametric, deterministic and probabilistic models). Essential knowledge on clustering analysis for grouping similar objects. Essentials on how to measure performance of a machine learning system for classification, regression and clustering. Basics on machine learning phenomena like bias and variance issues, over-fitting and under-fitting. Essential knowledge and practical skills on how to perform machine learning experiments, and on data usage for model training, model selection and model testing. The teaching content is divided into ten chapters: •    Machine Learning Basics •    k-Nearest Neighbours •    Machine Learning Experiments •    Typical Machine Learning Models •    Loss Functions •    Training and Optimisation •    Artificial Neural Networks •    Deep Learning and Convolutional Neural Networks •    Unsupervised Learning •    Machine Learning Applications The course has a fair amount of mathematical and algorithmic content and is intended to be self-contained. The lab work is based on Python.","COMP34312,COMP34612,COMP34711","COMP11120,MATH11121",
Knowledge Based AI,COMP24412,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP24412,10,Optional,2,Semester 2,Department of Computer Science,True,"Intelligent systems need to be able to represent and reason about the world. This course provides an introduction to the key ideas in knowledge representation and different types of automated reasoning. The course is a mixture of theoretical and practical work: at the end of the course students will know the principles that such systems use, and they will have experience of implementing those principles in running systems.",,,COMP24011
System Architecture,COMP25212,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP25212,10,Optional,2,Semester 2,Department of Computer Science,True,"This course introduces the key ideas behind the design of modern computer processors and explains how advanced architectural techniques are used to improve performance and efficiency. Students will explore why these techniques are needed and how they are applied in real computing systems. This course covers the following topics and themes: •    Why modern processors need advanced design techniques  Performance limitations in modern computing systems and the motivation for advanced processor architecture techniques. •    Reducing delays when accessing memory  Memory latency and the role of caching, including cache organisation and operation. •    Overlapping work inside the processor  Instruction pipelining, processor throughput, superscalar architectures. •    Handling dependencies and decision points during execution  Pipeline limitations and hazards, including data and control hazards, and techniques to improve pipeline performance. •    Running multiple tasks at once on a single processor  Multi-threading concepts, processor support for multi-threading, and simultaneous multi-threading. •    Using multiple processor cores  Motivation for multi-core processors and possible multi-core processor organisations. •    Sharing data safely between processing units  Data sharing, cache coherence, and consistency in multi-core systems.",COMP35112,COMP15111,
Introduction to Visual Computing,COMP27112,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP27112,10,Optional,2,Semester 2,Department of Computer Science,True,"The field of Visual Computing brings together two fundamentally important aspects of modern computing: Computer Graphics - concerned with the synthesis of images from computer models - and Image Processing, which deals with analysis and understanding of images by computers. There are now considerable overlaps between these two, traditionally separate, fields of research and their applications. The Visual Computing theme consists of the following course units: •    Year 2: Introduction to Visual Computing (Computer Graphics and Image Processing) (10 credits) •    Year 3: Graphics & Virtual Environments (10 credits) •    Year 3: Computer Vision (10 credits) The second-year Introduction to Visual Computing unit covers the following topics. Image Transformations (2 weeks) Image representations: resolution, colour models. Image transformations: point transformations (brightness, contrast, grey-level mapping, windowing, colour transformations and colour spaces) and geometrical transformations (including camera calibration). This part also describes some of the history and applications of image processing. Image Enhancement (3 weeks) Local processes, convolution, image smoothing (local averaging, weighted averaging), size of support, Gaussian mask. Edge enhancement (sharpening). Edge detection (Prewitt, Sobel, Canny, Marr-Hildreth), Line detection (Hough transform). Thresholding, blob detection, simple measurement (geometrical features such as perimeter and area). Rank order filters (median, max-min). This part also describes image file formats, camera exposure and image compression. Fundamentals (1 week) 2 and 3 D Coordinate systems. Vectors, matrices and basic vector/matrix operations. 2 and 3D geometric transformations (translation, rotation, scaling, affine). 3D Modelling and Illumination (4 weeks) The programmable graphics pipeline. 3D graphics primitives, meshes, models, and scene graphs. Rasterisation and hidden surface removal. The camera model, viewing and projection. Local illumination: ambient, diffuse, specular. Gouraud and Phong shading. Writing shaders with GLSL. Surface detail: textures, bump mapping.","COMP37111,COMP37212",,
Distributed Systems,COMP28112,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP28112,10,Optional,2,Semester 2,,True,"The course unit assumes that students already have a solid understanding of the main principles of computing within a single machine, have a basic understanding of the issues related to machine communication and networking, and have a notion of what distributed computing is. The syllabus will contain topics covering the fundamentals of distributed computing, its application in modern systems and issues to be considered when designing distributed systems.","COMP32412,COMP38311","COMP16412,COMP15212",
Exploring Enterprise,MCEL10001,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MCEL10001,10,Optional,1,Semester 1,Alliance Manchester Business School,True,"“Exploring Enterprise” aims to develop students’ problem-solving skills, creativity, and commercial awareness. Acting as consultants, students will identify and evaluate business opportunities using tools like SWOT, PEST, and Ansoff’s Matrix. This unit bridges the gap between academic knowledge and real-world applications, making students’ expertise more relevant in business contexts. The course culminates in a consultancy project where students analyse a business and recommend innovative changes to that company’s business model. By the end of the unit, students will have started to develop a consultancy mindset (i.e. commercialising focused both aware of other stakeholder interests and expectations), gained essential analytical skills, and further developed their abilities to innovate creating value in various contexts.",,,
Entrepreneurial Skills,MCEL10002,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MCEL10002,10,Optional,1,Semester 2,Alliance Manchester Business School,True,"This unit is specifically designed so students understand the processes entrepreneurs go through when researching and developing a business opportunity for presentation to potential investors Students will be expected to identify and develop an idea which has the potential to be commercialised. The idea will be generated through use of practical and creative techniques developed within the unit. Students will then research their idea identifying key information which would support the development of a Business Plan. This will be done through the examination of the process of commercialisation, identifying information such as the ideas' market potential, its potential strategy and its capacity for monetarisation. The output of this research will be developed into a detailed business proposal, to be aimed at potential investors,, which identifies the value and uniqueness of the identified opportunity.",,,
Exploring Enterprise,MCEL10022,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=MCEL10022,10,Optional,1,Semester 2,Alliance Manchester Business School,True,"“Exploring Enterprise” aims to develop students’ problem-solving skills, creativity, and commercial awareness. Acting as consultants, students will identify and evaluate business opportunities using tools like SWOT, PEST, and Ansoff’s Matrix. This unit bridges the gap between academic knowledge and real-world applications, making students’ expertise more relevant in business contexts. The course culminates in a consultancy project where students analyse a business and recommend innovative changes to that company’s business model. By the end of the unit, students will have started to develop a consultancy mindset (i.e. commercialising focused both aware of other stakeholder interests and expectations), gained essential analytical skills, and further developed their abilities to innovate creating value in various contexts.",,,
Third Year Project Laboratory,COMP30040,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP30040,40,Mandatory,3,Full year,Department of Computer Science,False,"Various types of project are possible as long as it is in the general area of Computer Science. Examples include software design and development, hardware design and development, mathematics, teaching, and research. Students can choose from a large selection of project proposals provided by project supervisors (the student makes three choices and will be assigned one by an allocation system). Alternatively, the student can write their own proposal and find a project supervisor to supervise the project. Students will attend weekly group meetings with their supervisor to receive support and to demonstrate the achievements each week which can later be used as part of the assessment process. Because the projects are varied, the type of learning depends on the project. For example, if a student chooses a Machine Learning project, they would need to manage their own learning in that area. Even if a project is chosen that is in an area that was studied in another unit, it is almost certain that extra learning will be required for the specific project. Materials (textual and video) are provided on various aspects of project work, such as on project planning, ethics, and report-writing. Students might use some of these resources at the start of the project, and others, like report-writing, later on in the year. The main aims for the project work done in the third year are: •    To manage and execute a substantial project in a limited time. •    To identify and learn whatever new skills are needed to complete the project. •    To apply design and engineering skills in the accomplishment of a single task. In this context the skills mentioned may be in the general area of design and engineering in its broadest sense, or may be very specifically related to particular tools. •    To effectively communicate (verbally and in writing) all aspects of the produced work.",,,
Giving Meaning to Programs,COMP31311,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP31311,10,Optional,3,Semester 1,,True,"Programming languages provide abstractions such as `functions’ which are supposed to allow us to reason about the code at a high level---without running it in our heads. However, these abstractions don’t necessarily behave in the way their names suggest. In this unit we show that a mathematical theory of program meanings can be developed which encompasses the counter-intuitive behaviour of computations, but preserves our ability to reason abstractly. The machinery required is significant, and delicate at times, and the unit will introduce the fundamental technical tools which help us cope with these complications.",,"MATH10111,COMP11120,MATH11121",
Implementing System-on-Chip Designs,COMP32211,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP32211,10,Optional,3,Semester 1,Department of Computer Science,True,"Course Structure This course is structured around a central practical project, supported by a series of lectures. The lectures introduce concepts, techniques, and context that feed directly into the practical work, while the hands-on activities reinforce and illustrate the lecture material. Together, lectures and practical sessions provide a coherent, integrated learning experience that develops both system-level design understanding and practical skills. Practical Work The practical part of the course involves migrating the design of a moderately complex finite-state machine (FSM) into a language for hardware description (Verilog), integrating it with other components of a system-on-chip, and verifying that it operates correctly under realistic conditions. Students will demonstrate a working implementation, using a graphics drawing example design so that the final result can be clearly observed on its own display. Lectures in System-Level Digital Hardware Design The lectures will revolve around the following topics: •    Introduction  An overview of the course and its objectives, and the role of digital hardware design in modern computing systems. •    Scale and complexity of VLSI systems  The scale of the problem and what a modern VLSI system looks like internally. •    The Verilog Hardware Description Language   Revision of core concepts, together with additional language features used in practical system-level design. •    Functional simulation  Constructing test harnesses and modelling realistic system behaviour. •    Debugging  Identifying common design issues, and systematic approaches to locating and fixing errors. •    Design and tool flows  The tools and processes used to transform source code into silicon, and how design choices affect efficiency and outcomes. •    Timing simulation  Simulating large designs and obtaining sufficiently accurate timing results within practical time constraints. •    Timing and clocking  Clocking strategies, clock distribution, and the challenges of crossing between clock domains. •    Technology  Essential CMOS technology concepts that underpin modern VLSI design. •    Layout and physical design  How physical constraints and layout effects influence the behaviour of an otherwise clean logical design. •    Testing and validation  Techniques for proving that a device is expected to work, and for checking its behaviour once silicon becomes available. •    Future trends  An overview of ongoing developments in silicon fabrication and emerging challenges for digital hardware designers.",,COMP22111,
The Internet of Things:  Architectures and Applications,COMP32412,https://assets-dev.manchester.ac.uk/cpip/phase-2/ug/2026/unit/?unitcode=COMP32412,10,Optional,3,Semester 2,Department of Computer Science,False,"Augmenting objects, otherwise designed to perform a specific task, with the ability to connect to the Internet has led to a new technological paradigm called the Internet of Things (IoT). This course will introduce the students to this concept where high level tasks such as data analytics and fundamental hardware components, such as sensors and actuators are integrated to produce complex systems aimed at improving quality of life and benefit society. Considering the upcoming IoT revolution, this course unit offers a timely opportunity to familiarise yourself with the fundamental principles and primary issues that define the IoT. We put emphasis on the versatility of components that can be integrated into such systems, as well as the diversity of data types produced by the IoT edge-nodes. Successful development of IoT applications also requires communication between different levels (layers) of IoT architectures with the associated security and privacy issues.",,COMP28112,
